"AgentKey","Title","AgentDisplayName","CurrentStatus","LastUpdateTimestamp","LastRunTimestamp","LastSuccessTimestamp","LastRunResult","LastRunDurationSec","LastFailureTimestamp","LastFailureStep","LastFailureMessage","LastWarningTimestamp","LastWarningStep","LastWarningMessage","OperationMode","WorkflowPath","DomainsExtracted","EmailsProcessedTotal","EmailsProcessed_ND","EmailsProcessed_DIS","EmailsProcessed_DNES","EmailsProcessed_DEE","LastStatusUpdateSource","EmergencyReportPresent","WorkbookValidationPassed","CurrentIndicatorMode","LastRunId","StatusSeverity","LastHeartbeatTimestamp","StatusMessage"
"Agent_01","Agent_01","Domains Extraction","Operational","8/25/2026 12:10 PM","8/25/2026 12:10 PM","8/25/2026 12:10 PM","Succeeded","66.57","8/7/2026 11:49 AM","Agent1_DomainPreparation","Agent 1 completed with failure. AuditOutcome=Started | DomainsExtracted=0",,,,"SIMU_DMP","Agent01_DomainPreparation","6","0","0","0","0","0","Agent_01",,,,"08584139543147894856831387320CU02","Information","8/25/2026 12:10 PM","Agent 1 domain extraction completed. AuditOutcome=Succeeded | DomainsExtracted=6 | OutputFile=External_Domains.txt"
"Agent_02","Agent_02","E-Mail Inbox Treatment","Operational","8/25/2026 12:14 PM","8/25/2026 12:14 PM","8/25/2026 12:14 PM","Succeeded","287.48","8/7/2026 4:49 PM","Alert_CounterUpdateFailed_ND","Agent 2 completed with failure. AuditOutcome=Failed | WorkflowPath=No DMP | SenderDomain=web.de",,,,"SIMU_DMP","DMP not effected Sender","0","1","0","0","1","0","Agent_02",,,,"08584139542972142891579427211CU19","Information","8/25/2026 12:14 PM","Agent 2 e-mail inbox treatment completed. AuditOutcome=Succeeded | WorkflowPath=DMP not effected Sender | SenderDomain=web.de"
"Agent_03","Agent_03","Emergency Report Management","Operational","8/25/2026 12:09 PM","8/25/2026 12:09 PM","8/25/2026 12:09 PM","Succeeded","37.02",,,,,,,,"Agent03_EmergencyReportManagement","0","0","0","0",,,"Agent_03","Yes","Yes",,"08584139543521153811266865946CU02","Information","8/25/2026 12:09 PM","Emergency Report processing completed. Status=SUCCESS | Code=OK | Message=Emergency Report uploaded successfully."
"Agent_04","Agent_04","Status Check","Operational","8/26/2026 5:24 PM","8/26/2026 5:24 PM","8/26/2026 5:24 PM","Succeeded","20.43",,,,,,,"SIMU_NODMP","Agent04_StatusCheck","0","0","0","0",,,"Agent_04",,,"Absent","08584138490649346952290508525CU16","Information","8/26/2026 5:24 PM","Status check completed. AuditTrailExists=True | CounterExists=True | EmergencyReportExists=True | InternalDomainsExists=True | ExternalDomainsExists=True | IsRealDMP=False"
"Agent_05","Agent_05","Operational State Management","Operational","8/26/2026 5:11 PM","8/26/2026 5:11 PM","8/26/2026 5:11 PM","Succeeded","11.68","8/26/2026 9:31 AM","UpdateOperationMode","Agent 5 did not complete with Succeeded. AuditOutcome=Failed | RequestedAction=SIMU_DMP",,,,"SIMU_NODMP","Agent05_OperationalStateManagement","0","0","0","0",,,"Agent_05",,,"Absent","08584138497930831160587589002CU08","Information","8/26/2026 5:11 PM","Operating State updated successfully. NewOperationMode=SIMU_NODMP"
"Audit","Audit","Audit Infrastructure","Unknown",,,,,,,,,,,,,,"0","0","0","0",,,,,,,,,,
"Counter","Counter","Counter Infrastructure","Unknown",,,,,,,,,,,,,,"0","0","0","0",,,,,,,,,,
"EmergencyReport","EmergencyReport","Emergency Report Infrastructure","Operational","8/25/2026 12:09 PM","8/25/2026 12:09 PM","8/25/2026 12:09 PM",,"38.05",,,,,,,"SIMU_DMP","Agent03_EmergencyReportManagement","0","0","0","0","0","0","Agent_03","Yes","Yes",,"08584139543521153811266865946CU02","Information","8/25/2026 12:09 PM","Emergency Report is available. TargetFile=Emergency Report.xlsx"
"ExternalDomains","ExternalDomains","External Domains Infrastructure","Operational","8/25/2026 12:10 PM","8/25/2026 12:10 PM","8/25/2026 12:10 PM","Succeeded","67.46","8/7/2026 11:49 AM","Agent1_DomainPreparation","External domains file was not updated successfully. AuditOutcome=Started | DomainsExtracted=0",,,,"SIMU_DMP","Agent01_DomainPreparation","6","0","0","0","0","0","Agent_01",,,"Present","08584139543147894856831387320CU02","Information","8/25/2026 12:10 PM","External domains file is available. File=External_Domains.txt | DomainsExtracted=6"
"InternalDomains","InternalDomains","Internal Domains Infrastructure","Unknown",,,,,,,,,,,,,,"0","0","0","0","0","0",,,,,,,,
"Agent_06","Agent_06","Admin Functions","Operational","8/26/2026 9:27 AM","8/26/2026 9:27 AM","8/26/2026 9:27 AM","Succeeded","30.73",,,,,,,,"Agent6_AdminFunctions","0","0","0","0","0","0","Agent_06",,,,"08584138776385253228750487448CU19","Information",,
